Date,Region,Product,Salesperson,Units_Sold,Unit_Price,Category,Revenue,Cost,Profit,Month,Year,Month_Name
2024-04-12,NORTH,Smartwatch,Hannah,15.0,1224.0,Accessories,18360.0,16451.63426,1908.365742,4,2024,April
2024-12-14,NORTH,Monitor,Eva,5.0,1321.0,Office,6605.0,4457.351727,2147.648273,12,2024,December
2024-09-27,NORTH,Mobile,Bob,11.0,912.0,Electronics,10032.0,6563.644126,3468.355874,9,2024,September
2024-04-16,WEST,Monitor,Charlie,18.0,325.0,Office,5850.0,4320.807092,1529.192908,4,2024,April
2024-03-12,WEST,Headphones,Eva,13.0,1042.0,Accessories,13546.0,8270.122666,5275.877334,3,2024,March
2024-07-07,WEST,Monitor,Charlie,11.0,562.0,Office,6182.0,5177.519983,1004.480017,7,2024,July
2024-01-21,WEST,Headphones,Charlie,14.0,336.0,Accessories,4704.0,4069.56211,634.4378896,1,2024,January
2024-04-12,EAST,Camera,Grace,18.0,1149.0,Electronics,20682.0,16665.80191,4016.198085,4,2024,April
2024-05-01,EAST,Laptop,Grace,19.0,1244.0,Electronics,23636.0,16081.89912,7554.10088,5,2024,May
2024-08-02,SOUTH,Printer,Hannah,15.0,605.0,Office,9075.0,5780.290778,3294.709222,8,2024,August
2024-03-28,EAST,Laptop,Eva,8.0,1834.0,Electronics,14672.0,12471.21007,2200.789933,3,2024,March
2024-04-09,NORTH,Smartwatch,Alice,1.0,913.0,Accessories,913.0,643.0700355,269.9299645,4,2024,April
2024-12-25,WEST,Mobile,Charlie,4.0,866.0,Electronics,3464.0,2113.997353,1350.002647,12,2024,December
2024-05-31,SOUTH,Smartwatch,David,14.0,1073.5,Accessories,8268.0,6014.593046,1928.596208,5,2024,May
2024-05-10,SOUTH,Camera,Charlie,2.0,1666.0,Electronics,3332.0,2988.749632,343.2503682,5,2024,May
2024-05-29,SOUTH,Monitor,Charlie,16.0,1438.0,Office,23008.0,18475.43842,4532.561581,5,2024,May
2024-11-04,NORTH,Monitor,Eva,3.0,1090.0,Office,3270.0,2845.738588,424.2614118,11,2024,November
2024-09-14,EAST,Tablet,Charlie,8.0,1920.0,Electronics,15360.0,12786.57915,2573.420847,9,2024,September
2024-12-09,NORTH,Tablet,Frank,6.0,717.0,Electronics,4302.0,3277.743938,1024.256062,12,2024,December
2024-10-20,WEST,Tablet,Charlie,16.0,1859.0,Electronics,29744.0,19173.18055,10570.81945,10,2024,October
2024-07-10,SOUTH,Smartwatch,Frank,16.0,372.0,Accessories,5952.0,4193.739581,1758.260419,7,2024,July
2024-10-03,NORTH,Headphones,Grace,7.0,331.0,Accessories,2317.0,1795.957831,521.0421694,10,2024,October
2024-06-09,NORTH,Mobile,David,13.0,1543.0,Electronics,20059.0,17274.60428,2784.395715,6,2024,June
2024-11-09,EAST,Tablet,Hannah,13.0,867.0,Electronics,11271.0,7671.070933,3599.929067,11,2024,November
2024-01-22,EAST,Camera,Eva,5.0,1565.0,Electronics,7825.0,4979.580076,2845.419924,1,2024,January
2024-09-09,SOUTH,Camera,Charlie,18.0,595.0,Electronics,10710.0,8221.528236,2488.471764,9,2024,September
2024-12-10,NORTH,Monitor,Frank,18.0,1232.0,Office,22176.0,17366.21478,4809.785221,12,2024,December
2024-02-18,EAST,Tablet,Grace,2.0,1826.0,Electronics,3652.0,2479.914092,1172.085908,2,2024,February
2024-02-28,NORTH,Mobile,Frank,10.0,601.0,Electronics,6010.0,4022.426297,1987.573703,2,2024,February
2024-06-18,NORTH,Tablet,Hannah,13.0,1982.0,Electronics,25766.0,18545.18748,7220.812523,6,2024,June
2024-07-06,NORTH,Mobile,Bob,18.0,124.0,Electronics,2232.0,1736.401201,495.5987991,7,2024,July
2024-09-27,EAST,Camera,Alice,15.0,1310.0,Electronics,19650.0,15004.64768,4645.352318,9,2024,September
2024-07-08,SOUTH,Tablet,Hannah,10.0,387.0,Electronics,8268.0,6014.593046,1928.596208,7,2024,July
2024-06-23,WEST,Smartwatch,David,15.0,1751.0,Accessories,26265.0,22780.55384,3484.446164,6,2024,June
2024-02-20,SOUTH,Printer,Hannah,13.0,437.0,Office,5681.0,3595.871841,2085.128159,2,2024,February
2024-12-29,WEST,Smartwatch,Grace,18.0,1160.0,Accessories,20880.0,12775.22482,8104.775185,12,2024,December
2024-02-24,NORTH,Camera,Grace,15.0,1917.0,Electronics,28755.0,22452.24563,6302.754367,2,2024,February
2024-08-31,SOUTH,Mobile,Hannah,11.0,236.0,Electronics,2596.0,1653.709502,942.2904975,8,2024,August
2024-11-15,WEST,Smartwatch,Charlie,19.0,607.0,Accessories,11533.0,8666.671728,2866.328272,11,2024,November
2024-05-10,EAST,Mobile,Bob,3.0,326.0,Electronics,978.0,866.0502816,111.9497184,5,2024,May
2024-11-02,EAST,Smartwatch,Charlie,7.0,419.0,Accessories,2933.0,2374.480781,558.5192191,11,2024,November
2024-05-14,SOUTH,Smartwatch,Charlie,14.0,1963.0,Accessories,27482.0,21579.88252,5902.117477,5,2024,May
2024-01-21,SOUTH,Mobile,Hannah,14.0,1015.0,Electronics,14210.0,10976.39467,3233.605326,1,2024,January
2024-11-24,NORTH,Headphones,Eva,13.0,1305.0,Accessories,16965.0,11092.76502,5872.234976,11,2024,November
2024-06-15,SOUTH,Smartwatch,Eva,12.0,1997.0,Accessories,23964.0,17488.79174,6475.208259,6,2024,June
2024-09-30,NORTH,Tablet,Eva,9.0,185.0,Electronics,1665.0,1170.090492,494.9095081,9,2024,September
2024-03-29,NORTH,Printer,Bob,1.0,1590.0,Office,1590.0,1408.616452,181.3835483,3,2024,March
2024-11-11,EAST,Camera,Charlie,19.0,1025.0,Electronics,19475.0,13100.75595,6374.244048,11,2024,November
2024-01-14,EAST,Headphones,Alice,11.0,152.0,Accessories,1672.0,1239.712612,432.2873881,1,2024,January
2024-08-29,WEST,Mobile,David,19.0,959.0,Electronics,18221.0,16060.42322,2160.576777,8,2024,August
2024-09-21,EAST,Headphones,Eva,18.0,966.0,Accessories,17388.0,14549.48196,2838.518045,9,2024,September
2024-02-22,SOUTH,Laptop,Grace,1.0,1902.0,Electronics,1902.0,1488.313244,413.6867564,2,2024,February
2024-12-05,EAST,Smartwatch,Charlie,19.0,1922.0,Accessories,36518.0,25567.56851,10950.43149,12,2024,December
2024-09-20,SOUTH,Tablet,Bob,5.0,1619.0,Electronics,8095.0,5564.801555,2530.198445,9,2024,September
2024-02-04,WEST,Printer,Bob,3.0,1098.0,Office,3294.0,2139.228483,1154.771517,2,2024,February
2024-07-24,EAST,Camera,Eva,2.0,199.0,Electronics,398.0,323.1308844,74.8691156,7,2024,July
2024-03-21,WEST,Headphones,Charlie,3.0,1089.0,Accessories,3267.0,2586.440446,680.5595542,3,2024,March
